City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ancud,-41.87,-73.82,51.01,87,75,13.87,CL,1603048068
Pisco,-13.7,-76.22,66.0,82,90,8.05,PE,1603048308
Pāthardi,19.17,75.18,77.11,83,100,4.56,IN,1603048309
Tiksi,71.69,128.87,18.41,96,100,16.6,RU,1603048309
Barrow,71.29,-156.79,21.2,79,40,13.87,US,1603048309
Sitka,57.05,-135.33,44.6,56,90,8.05,US,1603048310
Pacific Grove,36.62,-121.92,66.99,55,1,4.7,US,1603048310
Felanitx,39.47,3.15,61.0,67,20,3.36,ES,1603048310
San Quintín,30.48,-115.95,81.55,44,100,15.61,MX,1603048310
Kendari,-3.94,122.5,76.55,84,100,2.59,ID,1603048311
Tuatapere,-46.13,167.68,46.99,94,100,0.92,NZ,1603048311
Okha,53.57,142.95,35.04,88,76,19.33,RU,1603048116
Tiznit Province,29.58,-9.5,69.94,36,100,2.46,MA,1603048312
Derzhavīnsk,51.1,66.32,39.06,63,0,9.22,KZ,1603048312
Souillac,-20.52,57.52,73.4,78,20,6.93,MU,1603048312
Lagoa,39.05,-27.98,62.67,65,97,16.84,PT,1603048312
Batouri,4.43,14.37,72.1,86,53,0.94,CM,1603048116
Rockhampton,-23.38,150.5,64.4,88,0,2.15,AU,1603048313
Namatanai,-3.67,152.43,79.56,75,0,5.28,PG,1603048313
Sakhnovshchyna,49.15,35.87,48.43,71,0,6.29,UA,1603048313
Carutapera,-1.2,-46.02,85.33,61,98,9.44,BR,1603048313
Shahrud,36.42,54.98,52.97,34,0,0.29,IR,1603048314
Kahului,20.89,-156.47,80.6,69,40,3.36,US,1603048314
Sioux Lookout,50.1,-91.92,32.0,84,90,5.82,CA,1603048314
Jacareacanga,-6.22,-57.75,97.25,35,56,5.06,BR,1603048315
Délegyháza,47.24,19.09,48.99,87,0,1.12,HU,1603048315
Nabire,-3.37,135.48,75.33,87,100,2.42,ID,1603048315
Camacha,33.08,-16.33,69.8,94,40,12.75,PT,1603048315
Bluff,-46.6,168.33,46.99,94,100,4.79,NZ,1603048316
Cabo San Lucas,22.89,-109.91,89.6,62,5,11.41,MX,1603048316
Gamba,-2.65,10.0,77.05,90,96,8.39,GA,1603048316
Cape Town,-33.93,18.42,62.01,77,20,16.11,ZA,1603048217
Yulara,-25.24,130.99,66.2,93,40,11.41,AU,1603048317
Itapuranga,-15.56,-49.95,80.42,58,78,4.54,BR,1603048318
South Shields,55.0,-1.43,48.0,87,75,2.24,GB,1603048318
Upernavik,72.79,-56.15,32.47,92,4,10.16,GL,1603048318
Pevek,69.7,170.31,23.5,94,93,16.64,RU,1603048319
Morganton,35.75,-81.68,64.99,42,1,2.13,US,1603048201
Chokurdakh,70.63,147.92,19.24,98,89,6.35,RU,1603048319
North Bend,43.41,-124.22,70.0,77,90,5.21,US,1603048215
Saint-Philippe,-21.36,55.77,73.4,68,7,4.7,RE,1603048320
Lebu,-37.62,-73.65,55.6,64,0,8.39,CL,1603048320
Roald,62.58,6.13,41.0,75,40,6.93,NO,1603048320
Port Lincoln,-34.73,135.87,52.27,78,62,8.81,AU,1603048320
Saint-Pierre,-21.34,55.48,73.4,69,20,5.82,RE,1603048093
Bonthe,7.53,-12.51,78.98,87,100,7.02,SL,1603048321
Talnakh,69.49,88.4,17.6,85,90,6.71,RU,1603048321
Porto-Novo,6.5,2.6,80.6,83,20,11.41,BJ,1603048321
Shibetsu,43.66,145.13,48.85,64,0,7.4,JP,1603048322
Codrington,-38.27,141.97,44.71,94,27,5.59,AU,1603048322
Naze,28.37,129.48,75.2,94,90,19.46,JP,1603048322
Dunedin,-45.87,170.5,50.0,90,100,2.08,NZ,1603048291
Dekar,-21.53,21.93,77.58,16,0,8.57,BW,1603048322
Port Alfred,-33.59,26.89,62.22,80,65,6.85,ZA,1603048323
Hithadhoo,-0.6,73.08,83.44,77,100,15.66,MV,1603048323
Ostrovnoy,68.05,39.51,34.45,87,65,13.42,RU,1603048323
Kaitangata,-46.28,169.85,50.0,90,98,1.77,NZ,1603048323
Parakou,9.34,2.63,76.15,85,0,4.12,BJ,1603048324
Rafaela,-31.25,-61.49,100.0,24,0,10.0,AR,1603048324
Tam Ky,15.57,108.48,77.0,100,75,1.12,VN,1603048185
Tura,25.52,90.22,73.31,91,0,1.99,IN,1603048324
Airai,-8.93,125.41,60.44,73,0,2.01,TL,1603048324
Cayenne,4.93,-52.33,89.6,55,20,10.29,GF,1603048325
Katsuura,35.13,140.3,57.2,76,20,12.75,JP,1603048321
Barroquinha,-3.02,-41.14,85.39,56,100,14.74,BR,1603048269
Maridi,4.92,29.47,68.79,97,100,3.02,SS,1603048325
Yellowknife,62.46,-114.35,28.0,92,90,8.05,CA,1603048326
Pochutla,15.74,-96.47,91.99,55,40,5.73,MX,1603048326
Moctezuma,29.8,-109.67,90.81,18,0,3.04,MX,1603048052
Pyu,18.48,96.43,74.48,93,58,1.52,MM,1603048326
Onguday,50.75,86.15,30.09,93,100,5.61,RU,1603048327
Angoche,-16.23,39.91,73.71,83,0,8.28,MZ,1603048327
Bengkulu,-3.8,102.27,75.7,91,100,6.76,ID,1603048327
Lillooet,50.69,-121.94,44.6,87,90,3.36,CA,1603048328
Fuente Palmera,37.7,-5.1,68.0,40,1,1.12,ES,1603048328
Teya,60.38,92.63,28.33,93,100,16.33,RU,1603048328
Killeen,31.12,-97.73,84.2,51,1,13.87,US,1603048329
Paphos,34.77,32.42,66.2,63,0,4.7,CY,1603048329
Qasigiannguit,68.82,-51.19,42.8,48,100,20.8,GL,1603048329
Lüderitz,-26.65,15.16,66.34,48,0,20.24,NA,1603048329
Geraldton,-28.77,114.6,55.4,87,0,11.92,AU,1603048329
Rundu,-17.93,19.77,75.67,16,0,6.13,NA,1603048166
Comodoro Rivadavia,-45.87,-67.5,68.0,20,20,31.09,AR,1603048330
Valdivia,-39.81,-73.25,57.2,62,75,8.05,CL,1603048330
Borzya,50.38,116.52,34.47,89,78,3.58,RU,1603048330
Ampanihy,-24.7,44.75,67.5,70,0,10.74,MG,1603048331
Havelock,34.88,-76.9,77.0,68,5,13.87,US,1603048331
Pekan,3.48,103.4,80.6,88,20,0.69,MY,1603048331
Thinadhoo,0.53,72.93,83.8,76,100,16.11,MV,1603048331
Kempele,64.91,25.5,35.01,96,90,6.93,FI,1603048331
Atuona,-9.8,-139.03,77.83,78,3,17.85,PF,1603048332
Thompson,55.74,-97.86,30.2,86,75,8.05,CA,1603048332
Marzuq,14.4,46.47,70.12,23,0,1.39,YE,1603048332
Sibu,2.3,111.82,73.4,94,40,4.7,MY,1603048332
San Patricio,28.02,-97.52,91.0,46,20,18.34,US,1603048333
Waingapu,-9.66,120.26,79.65,75,8,2.8,ID,1603048333
Leshukonskoye,64.9,45.76,30.38,98,100,5.93,RU,1603048333
Patan,27.67,85.33,66.2,93,20,2.24,NP,1603048334
Nome,64.5,-165.41,37.4,93,75,6.93,US,1603048334
Alice Springs,-23.7,133.88,73.4,38,91,9.17,AU,1603048334
Banyo,6.75,11.82,67.44,80,76,4.29,CM,1603048334
Aklavik,68.22,-135.01,10.4,85,20,3.36,CA,1603048334
Kirakira,-10.45,161.92,79.25,83,94,7.09,SB,1603048335
Coquimbo,-29.95,-71.34,59.0,77,40,12.75,CL,1603048335
Port Augusta,-32.5,137.77,51.8,81,0,5.82,AU,1603048336
Qinggang,46.68,126.08,35.76,78,0,8.21,CN,1603048336
Tarakan,3.3,117.63,80.65,82,100,6.22,ID,1603048336
Lavrentiya,65.58,-171.0,35.13,89,26,1.57,RU,1603048336
Esmeraldas,-19.76,-44.31,73.4,60,75,13.87,BR,1603048337
Batagay,67.63,134.63,14.88,96,100,3.06,RU,1603048337
Skjervøy,70.03,20.97,28.4,92,40,5.82,NO,1603048337
Bernalillo,35.05,-106.67,78.01,7,1,8.05,US,1603048337
Tauranga,-37.69,176.17,57.0,89,100,1.99,NZ,1603048338
Dingle,11.0,122.67,76.5,90,100,5.44,PH,1603048338
Okhotsk,59.38,143.3,25.21,85,42,15.08,RU,1603048338
Pitimbu,-7.47,-34.81,86.0,58,20,14.99,BR,1603048338
Kjøpsvik,68.1,16.37,36.0,86,0,6.93,NO,1603048338
Qui Nhon,13.77,109.23,76.89,85,100,6.35,VN,1603048339
Bone,51.97,12.14,50.0,89,100,1.01,DE,1603048339
Witu,-2.39,40.44,77.0,83,1,9.1,KE,1603048339
Gilgit,35.92,74.31,61.83,29,0,5.95,PK,1603048339
Lata,40.16,-8.33,63.0,50,62,4.88,PT,1603048340
Baykit,61.67,96.37,28.02,93,100,10.78,RU,1603048148
Ambon City,-3.7,128.18,79.0,93,73,6.64,ID,1603048136
Beringovskiy,63.05,179.32,33.87,87,0,4.9,RU,1603048340
Gargždai,55.71,21.4,44.6,75,75,8.05,LT,1603048340
Los Llanos de Aridane,28.66,-17.92,73.4,78,20,18.34,ES,1603048341
High Level,58.52,-117.14,23.0,62,90,2.24,CA,1603048045
Dongsheng,39.82,109.98,39.67,57,0,4.21,CN,1603048341
Salalah,17.02,54.09,78.8,44,0,3.36,OM,1603048341
Constitución,-35.33,-72.42,59.14,56,0,17.58,CL,1603048342
Havre-St-Pierre,50.23,-63.6,46.4,65,1,14.99,CA,1603048136
Wuxi,31.57,120.29,61.0,77,76,5.21,CN,1603048147
Bismarck,46.81,-100.78,28.99,58,90,13.87,US,1603048207
Tías,28.96,-13.64,69.8,77,20,5.82,ES,1603048342
Richards Bay,-28.78,32.04,73.2,82,94,14.41,ZA,1603048343
Mar del Plata,-38.0,-57.56,78.8,69,40,8.05,AR,1603048194
Bambanglipuro,-7.95,110.28,76.75,88,98,9.89,ID,1603048343
Lokosovo,61.13,74.82,26.37,95,18,12.17,RU,1603048343
Chunskiy,56.08,99.63,38.61,76,100,13.89,RU,1603048343
Severo-Kuril'sk,50.68,156.12,45.52,81,5,11.86,RU,1603048344
Gimli,50.63,-96.99,32.0,98,100,5.99,CA,1603048344
Romilly-sur-Seine,48.51,3.73,50.0,87,100,3.36,FR,1603048344
Vila Franca do Campo,37.72,-25.43,62.6,55,20,10.29,PT,1603048344
Torbay,47.67,-52.73,55.4,93,40,12.75,CA,1603048345
Quang Ngai,15.12,108.8,76.15,91,100,3.15,VN,1603048345
Caldwell,43.66,-116.69,66.2,31,1,5.82,US,1603048332
Kloulklubed,7.04,134.26,82.4,78,75,9.17,PW,1603048346
Shar,49.59,81.05,35.71,78,0,7.09,KZ,1603048346
George Town,5.41,100.34,82.4,88,20,2.24,MY,1603048346
Iralaya,15.0,-83.23,86.38,67,85,7.63,HN,1603048346
Kutum,14.2,24.67,80.31,17,0,10.33,SD,1603048346
Tambovka,50.1,128.05,33.8,50,20,4.47,RU,1603048347
Arrondissement de Saint-Denis,48.92,2.33,53.6,76,75,1.12,FR,1603048347
San Cristobal,7.77,-72.22,96.8,30,20,23.04,VE,1603048347
Port Pirie,-33.18,138.02,51.8,81,0,5.82,AU,1603048348
Vao,-22.67,167.48,70.83,81,3,17.47,NC,1603048348
Provideniya,64.38,-173.3,33.75,91,80,4.83,RU,1603048348
Sacile,45.95,12.5,53.01,88,0,2.91,IT,1603048348
Fare,-16.7,-151.02,79.68,80,42,13.65,PF,1603048348
Harper,4.38,-7.72,77.74,90,100,7.49,LR,1603048147
Mount Isa,-20.73,139.5,80.6,30,0,12.75,AU,1603048349
Kavieng,-2.57,150.8,82.15,76,83,10.67,PG,1603048349
Ketchikan,55.34,-131.65,46.4,81,90,5.06,US,1603048349
Genhe,50.78,121.52,27.23,96,0,2.71,CN,1603048350
Ilulissat,69.22,-51.1,42.8,48,100,20.8,GL,1603048350
Iqaluit,63.75,-68.51,32.0,98,90,17.22,CA,1603048350
Lorengau,-2.02,147.27,81.79,79,100,8.34,PG,1603048135
Kangaatsiaq,68.31,-53.46,38.88,75,100,20.45,GL,1603048351
Ürümqi,43.8,87.6,51.8,34,88,8.95,CN,1603048330
Kabo,7.7,18.63,76.44,71,95,0.81,CF,1603048270
Alofi,-19.06,-169.92,77.0,94,92,9.17,NU,1603048351
Wanaka,-44.7,169.15,48.99,81,100,1.01,NZ,1603048352
Kapoeta,4.77,33.59,73.17,83,99,0.83,SS,1603048352
Nanzhang,31.78,111.84,56.37,65,68,3.49,CN,1603048352
At-Bashi,41.17,75.81,38.32,62,0,2.04,KG,1603048353
Arlit,18.74,7.39,96.13,10,0,8.23,NE,1603048353
Zhumadian,32.98,114.03,56.26,53,94,0.96,CN,1603048353
Misratah,32.38,15.09,71.06,60,100,14.94,LY,1603048353
Xiaoweizhai,26.19,107.51,51.19,87,81,4.32,CN,1603048353
Morón,-34.65,-58.62,93.0,52,20,11.41,AR,1603048354
Taltal,-25.4,-70.48,64.15,58,24,5.77,CL,1603048354
Abilene,32.45,-99.73,84.2,48,1,3.36,US,1603048354
Kavaratti,10.57,72.64,81.1,80,45,11.16,IN,1603048354
Palmer,42.16,-72.33,62.6,33,75,8.05,US,1603048355
Madang,-5.22,145.8,75.13,90,100,4.56,PG,1603048355
Vila Velha,-20.33,-40.29,75.99,69,75,5.82,BR,1603048355
Pangnirtung,66.15,-65.71,46.4,61,90,25.28,CA,1603048270
Chui,-33.7,-53.46,77.23,56,0,7.83,UY,1603048355
Toora-Khem,52.47,96.11,36.37,81,100,5.23,RU,1603048356
Nur-Sultan,51.18,71.45,26.6,79,0,2.24,KZ,1603048342
Hobyo,5.35,48.53,79.92,80,0,20.76,SO,1603048356
Puerto Escondido,15.85,-97.07,87.8,62,40,4.7,MX,1603048357
Mnogovershinnyy,53.94,139.92,21.27,96,100,9.55,RU,1603048111
Saskylakh,71.92,114.08,20.7,97,100,6.02,RU,1603048357
Saint Paul Harbor,57.79,-152.41,42.8,81,90,5.82,US,1603048357
Bani Walid,31.76,13.99,65.46,55,50,10.36,LY,1603048357
Mossamedes,-15.2,12.15,69.48,75,28,6.73,AO,1603048358
Yayva,59.33,57.26,33.01,99,100,5.01,RU,1603048358
Indiaroba,-11.52,-37.51,81.3,59,0,7.34,BR,1603048336
Champerico,14.3,-91.92,89.6,62,75,6.93,GT,1603048358
Poum,-20.23,164.02,73.27,76,0,18.1,NC,1603048158
Isangel,-19.55,169.27,71.76,71,2,5.79,VU,1603048359
Asilah,35.47,-6.03,69.8,64,100,18.34,MA,1603048359
Sola,-13.88,167.55,79.14,81,38,20.51,VU,1603048359
Point Pedro,9.82,80.23,80.26,82,100,7.02,LK,1603048359
Kupang,-10.17,123.58,78.15,74,26,4.38,ID,1603048359
Guerrero Negro,27.98,-114.06,83.73,42,97,8.95,MX,1603048360
Broken Hill,-31.95,141.43,48.2,76,0,9.17,AU,1603048360
Lerwick,60.15,-1.15,41.0,86,75,3.36,GB,1603048063
Srednekolymsk,67.45,153.68,22.17,97,79,2.95,RU,1603048360
Inta,66.03,60.17,27.73,97,96,8.08,RU,1603048360
Bozoum,6.32,16.38,71.85,83,50,2.21,CF,1603048361
Pandan,14.05,124.17,81.46,85,100,11.83,PH,1603048361
Sabará,-19.89,-43.81,73.4,60,75,13.87,BR,1603048361
Verkhnevilyuysk,63.45,120.32,11.52,95,1,1.61,RU,1603048361
Hohhot,40.81,111.65,33.8,50,0,4.47,CN,1603048362
Kastamonu Province,41.5,33.67,54.28,82,100,0.98,TR,1603048362
Hualmay,-11.1,-77.61,67.95,66,10,9.71,PE,1603048362
Mayumba,-3.43,10.66,77.95,88,100,9.13,GA,1603048362
Dingli,35.86,14.38,66.0,68,56,6.93,MT,1603048363
Bilma,18.69,12.92,86.67,13,0,5.75,NE,1603048363
Vestmannaeyjar,63.44,-20.27,42.8,81,20,6.93,IS,1603048084
Lugovoy,42.95,72.76,51.12,42,0,4.36,KZ,1603048363
Arcos,-20.28,-45.54,78.42,59,92,5.95,BR,1603048363
Gallup,35.53,-108.74,75.2,11,1,11.41,US,1603048364
Mezhdurechenskiy,59.6,65.93,31.23,97,100,8.72,RU,1603048364
Bubaque,11.28,-15.83,83.05,83,0,12.39,GW,1603048364
Rovaniemi,66.5,25.72,30.2,92,90,24.16,FI,1603048364
Rawlins,41.79,-107.24,54.0,32,90,38.03,US,1603048365
Vostok,46.49,135.88,23.45,94,0,3.62,RU,1603048365
Talara,-4.58,-81.27,68.76,74,29,18.23,PE,1603048365
Kiryat Gat,31.61,34.76,78.01,82,0,4.76,IL,1603048365
Banda Aceh,5.56,95.32,81.52,69,100,11.54,ID,1603048366
Siilinjärvi,63.08,27.67,37.4,93,90,2.24,FI,1603048366
Kaeo,-35.1,173.78,55.0,97,16,5.53,NZ,1603048366
Mikhaylovka,50.06,43.24,55.0,75,100,1.99,RU,1603048366
Goroka,-6.08,145.39,57.49,85,100,0.4,PG,1603048367
Māndal,25.45,74.57,78.93,72,65,3.27,IN,1603048367
Concepción del Uruguay,-32.48,-58.24,87.39,59,3,13.51,AR,1603048367
Kudahuvadhoo,2.67,72.89,83.07,77,33,14.32,MV,1603048367
Sydney,-33.87,151.21,60.01,93,75,11.41,AU,1603048197
Stavern,59.0,10.03,42.01,52,0,8.05,NO,1603048368
Peterhead,57.51,-1.8,44.6,87,40,4.7,GB,1603048368
Jaisalmer,26.91,70.92,84.65,30,14,2.59,IN,1603048368
Nouadhibou,20.93,-17.03,86.0,37,0,11.41,MR,1603048368
Road Town,18.42,-64.62,86.0,70,40,4.7,VG,1603048246
Seybaplaya,19.65,-90.67,87.8,70,75,6.93,MX,1603048369
Watsa,3.04,29.54,65.1,99,100,1.81,CD,1603048369
Kwang Binh,17.48,106.6,73.6,90,100,2.44,VN,1603048369
Kédougou,12.56,-12.17,91.4,66,20,3.2,SN,1603048369
Pokhara,28.23,83.98,68.07,65,31,3.06,NP,1603048370
Urazovka,55.4,45.62,46.87,75,68,13.76,RU,1603048370
Kumul,42.8,93.45,48.15,43,100,3.51,CN,1603048370
Batagay-Alyta,67.8,130.41,15.42,88,99,3.89,RU,1603048370
Cockburn Town,21.46,-71.14,87.8,62,40,9.17,TC,1603048371
Morgan City,29.7,-91.21,82.4,69,75,10.29,US,1603048371
Vikhorevka,56.12,101.16,51.8,88,100,8.95,RU,1603048371
Olafsvik,64.89,-23.71,41.65,79,51,31.68,IS,1603048371
Boddam,57.47,-1.78,44.6,87,40,4.7,GB,1603048371
Chinsali,-10.54,32.08,70.29,51,0,9.62,ZM,1603048372
Salinópolis,-0.61,-47.36,83.79,68,28,11.7,BR,1603048372
Dickinson,29.46,-95.05,87.01,55,40,12.75,US,1603048277
Deputatsky,69.3,139.9,13.3,96,100,9.44,RU,1603048372
Mayya,61.73,130.28,14.0,85,84,4.47,RU,1603048373
Port-Gentil,-0.72,8.78,78.8,88,75,12.75,GA,1603048373
Havøysund,71.0,24.66,37.4,73,75,4.7,NO,1603048373
Dudinka,69.41,86.18,17.6,85,90,6.71,RU,1603048373
Omboué,-1.57,9.26,76.93,90,100,7.38,GA,1603048373
Moranbah,-22.0,148.05,62.58,81,0,5.86,AU,1603048374
Edson,53.58,-116.44,15.8,78,90,2.8,CA,1603048087
Negombo,7.21,79.84,80.6,88,75,4.7,LK,1603048374
Usinsk,65.99,57.53,25.61,96,49,0.72,RU,1603048374
Puerto del Rosario,28.5,-13.86,69.8,73,20,8.05,ES,1603048375
Talhar,24.88,68.82,84.99,68,4,6.55,PK,1603048375
Roanoke Rapids,36.46,-77.65,70.0,77,75,2.73,US,1603048375
Narsaq,60.92,-46.05,37.4,74,81,3.36,GL,1603048375
Pangkalanbuun,-2.68,111.62,73.58,97,100,2.57,ID,1603048376
Palu,-0.89,119.87,75.9,77,64,1.45,ID,1603048239
Fort Nelson,58.81,-122.7,14.0,78,5,3.36,CA,1603048376
Kodinsk,58.69,99.18,28.24,95,0,8.79,RU,1603048376
Labuhan,-6.88,112.21,78.37,81,39,6.93,ID,1603048376
Burla,21.5,83.87,77.07,82,100,1.39,IN,1603048377
Babushkin,51.71,105.86,42.3,65,100,8.08,RU,1603048377
Fairbanks,64.84,-147.72,12.2,78,75,1.14,US,1603048220
Xiaoshi,41.3,124.12,33.8,80,0,2.24,CN,1603048377
Wau,7.7,28.0,73.49,87,100,3.51,SS,1603048377
Nacogdoches,31.6,-94.63,84.0,69,90,13.87,US,1603048378
Noumea,-22.28,166.46,69.01,72,0,1.12,NC,1603048378
Khovd,48.01,91.64,39.0,61,100,8.68,MN,1603048378
Cidreira,-30.18,-50.21,70.68,75,9,18.86,BR,1603048379
Rawson,-43.3,-65.1,71.2,22,57,21.34,AR,1603048379
Cukai,4.25,103.42,78.8,94,100,2.24,MY,1603048379
Santa Ana,33.75,-117.87,82.0,64,20,5.82,US,1603048289
São João da Barra,-21.64,-41.05,78.8,57,75,18.34,BR,1603048380
Bahía Solano,6.23,-77.4,82.22,77,100,11.27,CO,1603048380
Smithers,54.78,-127.17,32.0,86,90,10.29,CA,1603048380
Forsytheganj,52.63,29.73,40.41,86,69,11.9,BY,1603048380
Idenao,4.25,9.0,77.0,100,40,3.36,CM,1603048380
